Review,Liked,CleanData,Summary,Arabic,Sentiment,root,price,service,food
That's right....the red velvet cake.....ohhh this stuff is so good.,1,"['Thats', 'rightthe', 'red', 'velvet', 'cakeohhh', 'stuff', 'good']",Thats rightthe red velvet cakeohhh stuff good,,positive,that rightth red velvet cakeohhh stuff good,,,
- They never brought a salad we asked for.,0,"['They', 'never', 'brought', 'salad', 'asked']",They never brought salad asked,,neutral,they never brought salad ask,,,
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,"['This', 'hole', 'wall', 'great', 'Mexican', 'street', 'tacos', 'friendly', 'staff']",This hole wall great Mexican street tacos friendly staff,,positive,thi hole wall great mexican street taco friendli staff,,great ,
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,"['Took', 'hour', 'get', 'food', '4', 'tables', 'restaurant', 'food', 'Luke', 'warm', 'Our', 'sever', 'running', 'around', 'like', 'totally', 'overwhelmed']",Took hour get food  tables restaurant food Luke warm Our sever running around like totally overwhelmed,,positive,took hour get food 4 tabl restaur food luke warm our sever run around like total overwhelm,,,warm 
The worst was the salmon sashimi.,0,"['The', 'worst', 'salmon', 'sashimi']",The worst salmon sashimi,,negative,the worst salmon sashimi,,worst ,
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,"['Also', 'combos', 'like', 'burger', 'fries', 'beer', '23', 'decent', 'deal']",Also combos like burger fries beer  decent deal,,positive,also combo like burger fri beer 23 decent deal,,,decent 
This was like the final blow!,0,"['This', 'like', 'final', 'blow']",This like final blow,,neutral,thi like final blow,,,
I found this place by accident and I could not be happier.,1,"['I', 'found', 'place', 'accident', 'I', 'could', 'not', 'happier']",found place accident  could not happier,,neutral,i found place accid i could not happier,,,
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,"['seems', 'like', 'good', 'quick', 'place', 'grab', 'bite', 'familiar', 'pub', 'food', 'favor', 'look', 'elsewhere']",seems like good quick place grab bite familiar pub food favor look elsewhere,,positive,seem like good quick place grab bite familiar pub food favor look elsewher,,quick ,
"Overall, I like this place a lot.",1,"['Overall', 'I', 'like', 'place', 'lot']",Overall  like place lot,,neutral,overal i like place lot,,,
The only redeeming quality of the restaurant was that it was very inexpensive.,1,"['The', 'redeeming', 'quality', 'restaurant', 'inexpensive']",The redeeming quality restaurant inexpensive,,positive,the redeem qualiti restaur inexpens,,,
Ample portions and good prices.,1,"['Ample', 'portions', 'good', 'prices']",Ample portions good prices,,positive,ampl portion good price,,,
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,"['Poor', 'service', 'waiter', 'made', 'feel', 'like', 'I', 'stupid', 'every', 'time', 'came', 'table']",Poor service waiter made feel like  stupid every time came table,,negative,poor servic waiter made feel like i stupid everi time came tabl,poor ,time ,
My first visit to Hiro was a delight!,1,"['My', 'first', 'visit', 'Hiro', 'delight']",My first visit Hiro delight,,positive,my first visit hiro delight,delight ,,
Service sucks.,0,"['Service', 'sucks']",Service sucks,,negative,servic suck,,suck ,
The shrimp tender and moist.,1,"['The', 'shrimp', 'tender', 'moist']",The shrimp tender moist,,neutral,the shrimp tender moist,,,tender moist 
There is not a deal good enough that would drag me into that establishment again.,0,"['There', 'not', 'deal', 'good', 'enough', 'would', 'drag', 'establishment']",There not deal good enough would drag establishment,,positive,there not deal good enough would drag establish,,,
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,"['Hard', 'judge', 'whether', 'sides', 'good', 'grossed', 'melted', 'styrofoam', 'didnt', 'want', 'eat', 'fear', 'getting', 'sick']",Hard judge whether sides good grossed melted styrofoam didnt want eat fear getting sick,,negative,hard judg whether side good gross melt styrofoam didnt want eat fear get sick,,,hard melt sick 
"On a positive note, our server was very attentive and provided great service.",1,"['On', 'positive', 'note', 'server', 'attentive', 'provided', 'great', 'service']",On positive note server attentive provided great service,,positive,on posit note server attent provid great servic,,attent great ,
"Frozen pucks of disgust, with some of the worst people behind the register.",0,"['Frozen', 'pucks', 'disgust', 'worst', 'people', 'behind', 'register']",Frozen pucks disgust worst people behind register,,negative,frozen puck disgust worst peopl behind regist,,worst ,disgust 
The only thing I did like was the prime rib and dessert section.,1,"['The', 'thing', 'I', 'like', 'prime', 'rib', 'dessert', 'section']",The thing  like prime rib dessert section,,neutral,the thing i like prime rib dessert section,,,
It's too bad the food is so damn generic.,0,"['Its', 'bad', 'food', 'damn', 'generic']",Its bad food damn generic,,negative,it bad food damn gener,,,bad 
"The burger is good beef, cooked just right.",1,"['The', 'burger', 'good', 'beef', 'cooked', 'right']",The burger good beef cooked right,,positive,the burger good beef cook right,,,cook 
If you want a sandwich just go to any Firehouse!!!!!,1,"['If', 'want', 'sandwich', 'go', 'Firehouse']",If want sandwich go Firehouse,,neutral,if want sandwich go firehous,,,
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,"['My', 'side', 'Greek', 'salad', 'Greek', 'dressing', 'tasty', 'pita', 'hummus', 'refreshing']",My side Greek salad Greek dressing tasty pita hummus refreshing,,positive,my side greek salad greek dress tasti pita hummu refresh,,,tasti 
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,"['We', 'ordered', 'duck', 'rare', 'pink', 'tender', 'inside', 'nice', 'char', 'outside']",We ordered duck rare pink tender inside nice char outside,,positive,we order duck rare pink tender insid nice char outsid,,,tender 
He came running after us when he realized my husband had left his sunglasses on the table.,1,"['He', 'came', 'running', 'us', 'realized', 'husband', 'left', 'sunglasses', 'table']",He came running us realized husband left sunglasses table,,neutral,he came run us realiz husband left sunglass tabl,,,
Their chow mein is so good!,1,"['Their', 'chow', 'mein', 'good']",Their chow mein good,,positive,their chow mein good,,,
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,"['They', 'horrible', 'attitudes', 'towards', 'customers', 'talk', 'one', 'customers', 'dont', 'enjoy', 'food']",They horrible attitudes towards customers talk one customers dont enjoy food,,negative,they horribl attitud toward custom talk one custom dont enjoy food,enjoy ,,
The portion was huge!,1,"['The', 'portion', 'huge']",The portion huge,,positive,the portion huge,,,huge 
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,"['Loved', 'itfriendly', 'servers', 'great', 'food', 'wonderful', 'imaginative', 'menu']",Loved itfriendly servers great food wonderful imaginative menu,,positive,love itfriendli server great food wonder imagin menu,,great ,
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,"['The', 'Heart', 'Attack', 'Grill', 'downtown', 'Vegas', 'absolutely', 'flatlined', 'excuse', 'restaurant']",The Heart Attack Grill downtown Vegas absolutely flatlined excuse restaurant,,positive,the heart attack grill downtown vega absolut flatlin excus restaur,,,
Not much seafood and like 5 strings of pasta at the bottom.,0,"['Not', 'much', 'seafood', 'like', '5', 'strings', 'pasta', 'bottom']",Not much seafood like  strings pasta bottom,,negative,not much seafood like 5 string pasta bottom,,,
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,"['The', 'salad', 'right', 'amount', 'sauce', 'not', 'power', 'scallop', 'perfectly', 'cooked']",The salad right amount sauce not power scallop perfectly cooked,,positive,the salad right amount sauc not power scallop perfectli cook,,,perfectli cook 
"The ripped banana was not only ripped, but petrified and tasteless.",0,"['The', 'ripped', 'banana', 'not', 'ripped', 'petrified', 'tasteless']",The ripped banana not ripped petrified tasteless,,negative,the rip banana not rip petrifi tasteless,,,tasteless 
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,"['At', 'least', 'think', 'refill', 'water', 'I', 'struggle', 'wave', '10', 'minutes']",At least think refill water  struggle wave  minutes,,negative,at least think refil water i struggl wave 10 minut,,,
This place receives stars for their APPETIZERS!!!,1,"['This', 'place', 'receives', 'stars', 'APPETIZERS']",This place receives stars,,neutral,thi place receiv star appet,,,appet 
The cocktails are all handmade and delicious.,1,"['The', 'cocktails', 'handmade', 'delicious']",The cocktails handmade delicious,,positive,the cocktail handmad delici,,,delici 
We'd definitely go back here again.,1,"['Wed', 'definitely', 'go', 'back']",Wed definitely go back,,neutral,wed definit go back,,,
We are so glad we found this place.,1,"['We', 'glad', 'found', 'place']",We glad found place,,positive,we glad found place,,,
"Great food and service, huge portions and they give a military discount.",1,"['Great', 'food', 'service', 'huge', 'portions', 'give', 'military', 'discount']",Great food service huge portions give military discount,,positive,great food servic huge portion give militari discount,,great ,huge 
Always a great time at Dos Gringos!,1,"['Always', 'great', 'time', 'Dos', 'Gringos']",Always great time Dos Gringos,,positive,alway great time do gringo,,great time ,
Update.....went back for a second time and it was still just as amazing,1,"['Updatewent', 'back', 'second', 'time', 'still', 'amazing']",Updatewent back second time still amazing,,positive,updatew back second time still amaz,,time ,amaz 
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,"['We', 'got', 'food', 'apparently', 'never', 'heard', 'salt', 'batter', 'fish', 'chewy']",We got food apparently never heard salt batter fish chewy,,positive,we got food appar never heard salt batter fish chewi,,,chewi 
A great way to finish a great.,1,"['A', 'great', 'way', 'finish', 'great']",great way finish great,,positive,a great way finish great,,great great ,
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,"['The', 'deal', 'included', '5', 'tastings', '2', 'drinks', 'Jeff', 'went', 'beyond', 'expected']",The deal included  tastings  drinks Jeff went beyond expected,,negative,the deal includ 5 tast 2 drink jeff went beyond expect,,,
"- Really, really good rice, all the time.",1,"['Really', 'really', 'good', 'rice', 'time']",Really really good rice time,,positive,realli realli good rice time,,time ,
The service was meh.,0,"['The', 'service', 'meh']",The service meh,,neutral,the servic meh,,,
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,"['It', 'took', '30', 'min', 'get', 'milkshake', 'nothing', 'chocolate', 'milk']",It took  min get milkshake nothing chocolate milk,,positive,it took 30 min get milkshak noth chocol milk,,,
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,"['I', 'guess', 'I', 'known', 'place', 'would', 'suck', 'inside', 'Excalibur', 'I', 'didnt', 'use', 'common', 'sense']",guess  known place would suck inside Excalibur  didnt use common sense,,negative,i guess i known place would suck insid excalibur i didnt use common sens,,suck ,
The scallop dish is quite appalling for value as well.,0,"['The', 'scallop', 'dish', 'quite', 'appalling', 'value', 'well']",The scallop dish quite appalling value well,,negative,the scallop dish quit appal valu well,,,
2 times - Very Bad Customer Service !,0,"['2', 'times', 'Very', 'Bad', 'Customer', 'Service']",times Very Bad Customer Service,,negative,2 time veri bad custom servic,,time ,bad 
The sweet potato fries were very good and seasoned well.,1,"['The', 'sweet', 'potato', 'fries', 'good', 'seasoned', 'well']",The sweet potato fries good seasoned well,,positive,the sweet potato fri good season well,,,sweet season 
Today is the second time I've been to their lunch buffet and it was pretty good.,1,"['Today', 'second', 'time', 'Ive', 'lunch', 'buffet', 'pretty', 'good']",Today second time Ive lunch buffet pretty good,,positive,today second time ive lunch buffet pretti good,,time ,
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,"['There', 'much', 'good', 'food', 'Vegas', 'I', 'feel', 'cheated', 'wasting', 'eating', 'opportunity', 'going', 'Rice', 'Company']",There much good food Vegas  feel cheated wasting eating opportunity going Rice Company,,positive,there much good food vega i feel cheat wast eat opportun go rice compani,,,
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,"['Coming', 'like', 'experiencing', 'underwhelming', 'relationship', 'parties', 'cant', 'wait', 'person', 'ask', 'break']",Coming like experiencing underwhelming relationship parties cant wait person ask break,,negative,come like experienc underwhelm relationship parti cant wait person ask break,,wait person ,
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,"['walked', 'place', 'smelled', 'like', 'old', 'grease', 'trap', '2', 'others', 'eating']",walked place smelled like old grease trap  others eating,,positive,walk place smell like old greas trap 2 other eat,,,
The turkey and roast beef were bland.,0,"['The', 'turkey', 'roast', 'beef', 'bland']",The turkey roast beef bland,,negative,the turkey roast beef bland,,,roast bland 
This place has it!,1,"['This', 'place']",This place,,neutral,thi place,,,
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,"['The', 'pan', 'cakes', 'everyone', 'raving', 'taste', 'like', 'sugary', 'disaster', 'tailored', 'palate', 'six', 'year', 'old']",The pan cakes everyone raving taste like sugary disaster tailored palate six year old,,positive,the pan cake everyon rave tast like sugari disast tailor palat six year old,,,
I love the Pho and the spring rolls oh so yummy you have to try.,1,"['I', 'love', 'Pho', 'spring', 'rolls', 'oh', 'yummy', 'try']",love Pho spring rolls oh yummy try,,positive,i love pho spring roll oh yummi tri,,,yummi 
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,"['The', 'poor', 'batter', 'meat', 'ratio', 'made', 'chicken', 'tenders', 'unsatisfying']",The poor batter meat ratio made chicken tenders unsatisfying,,negative,the poor batter meat ratio made chicken tender unsatisfi,poor ,unsatisfi ,tender 
All I have to say is the food was amazing!!!,1,"['All', 'I', 'say', 'food', 'amazing']",All  say food amazing,,positive,all i say food amaz,,,amaz 
Omelets are to die for!,1,"['Omelets', 'die']",Omelets die,,neutral,omelet die,,,
Everything was fresh and delicious!,1,"['Everything', 'fresh', 'delicious']",Everything fresh delicious,,positive,everyth fresh delici,,,fresh delici 
"In summary, this was a largely disappointing dining experience.",0,"['In', 'summary', 'largely', 'disappointing', 'dining', 'experience']",In summary largely disappointing dining experience,,negative,in summari larg disappoint dine experi,,,
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,"['Its', 'like', 'really', 'sexy', 'party', 'mouth', 'youre', 'outrageously', 'flirting', 'hottest', 'person', 'party']",Its like really sexy party mouth youre outrageously flirting hottest person party,,negative,it like realli sexi parti mouth your outrag flirt hottest person parti,outrag ,person ,
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,"['Never', 'Hard', 'Rock', 'Casino', 'WILL', 'NEVER', 'EVER', 'STEP', 'FORWARD', 'IN', 'IT', 'AGAIN']",Never Hard Rock Casino,,negative,never hard rock casino will never ever step forward in it again,,,hard 
Best breakfast buffet!!!,1,"['Best', 'breakfast', 'buffet']",Best breakfast buffet,,positive,best breakfast buffet,,,
say bye bye to your tip lady!,0,"['say', 'bye', 'bye', 'tip', 'lady']",say bye bye tip lady,,neutral,say bye bye tip ladi,,,
We'll never go again.,0,"['Well', 'never', 'go']",Well never go,,neutral,well never go,,,
Will be back again!,1,"['Will', 'back']",Will back,,neutral,will back,,,
Food arrived quickly!,1,"['Food', 'arrived', 'quickly']",Food arrived quickly,,positive,food arriv quickli,,,
It was not good.,0,"['It', 'not', 'good']",It not good,,negative,it not good,,,
"On the up side, their cafe serves really good food.",1,"['On', 'side', 'cafe', 'serves', 'really', 'good', 'food']",On side cafe serves really good food,,positive,on side cafe serv realli good food,,,
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,"['Our', 'server', 'fantastic', 'found', 'wife', 'loves', 'roasted', 'garlic', 'bone', 'marrow', 'added', 'extra', 'meal', 'another', 'marrow', 'go']",Our server fantastic found wife loves roasted garlic bone marrow added extra meal another marrow go,,positive,our server fantast found wife love roast garlic bone marrow ad extra meal anoth marrow go,,,roast 
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,"['The', 'good', 'thing', 'waiter', 'helpful', 'kept', 'bloddy', 'marys', 'coming']",The good thing waiter helpful kept bloddy marys coming,,positive,the good thing waiter help kept bloddi mari come,,help ,
"Best Buffet in town, for the price you cannot beat it.",1,"['Best', 'Buffet', 'town', 'price', 'not', 'beat']",Best Buffet town price not beat,,positive,best buffet town price not beat,,,
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,"['I', 'LOVED', 'mussels', 'cooked', 'wine', 'reduction', 'duck', 'tender', 'potato', 'dishes', 'delicious']",mussels cooked wine reduction duck tender potato dishes delicious,,positive,i love mussel cook wine reduct duck tender potato dish delici,,,cook tender delici 
This is one of the better buffets that I have been to.,1,"['This', 'one', 'better', 'buffets', 'I']",This one better buffets,,positive,thi one better buffet i,,,
So we went to Tigerlilly and had a fantastic afternoon!,1,"['So', 'went', 'Tigerlilly', 'fantastic', 'afternoon']",So went Tigerlilly fantastic afternoon,,positive,so went tigerlilli fantast afternoon,,,
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,"['The', 'food', 'delicious', 'bartender', 'attentive', 'personable', 'AND', 'got', 'great', 'deal']",The food delicious bartender attentive personable  got great deal,,positive,the food delici bartend attent person and got great deal,,attent person great ,delici 
The ambience is wonderful and there is music playing.,1,"['The', 'ambience', 'wonderful', 'music', 'playing']",The ambience wonderful music playing,,positive,the ambienc wonder music play,,,
Will go back next trip out.,1,"['Will', 'go', 'back', 'next', 'trip']",Will go back next trip,,neutral,will go back next trip,,,
Sooooo good!!,1,"['Sooooo', 'good']",Sooooo good,,positive,sooooo good,,,
"REAL sushi lovers, let's be honest - Yama is not that good.",0,"['REAL', 'sushi', 'lovers', 'lets', 'honest', 'Yama', 'not', 'good']",sushi lovers lets honest Yama not good,,positive,real sushi lover let honest yama not good,,,
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,"['At', 'least', '40min', 'passed', 'us', 'ordering', 'food', 'arriving', 'wasnt', 'busy']",At least  passed us ordering food arriving wasnt busy,,negative,at least 40min pass us order food arriv wasnt busi,,,
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,"['This', 'really', 'fantastic', 'Thai', 'restaurant', 'definitely', 'worth', 'visit']",This really fantastic Thai restaurant definitely worth visit,,positive,thi realli fantast thai restaur definit worth visit,,,
"Nice, spicy and tender.",1,"['Nice', 'spicy', 'tender']",Nice spicy tender,,positive,nice spici tender,,,spici tender 
Good prices.,1,"['Good', 'prices']",Good prices,,positive,good price,,,
Check it out.,1,['Check'],Check,,neutral,check,,,
It was pretty gross!,0,"['It', 'pretty', 'gross']",It pretty gross,,positive,it pretti gross,,,
I've had better atmosphere.,0,"['Ive', 'better', 'atmosphere']",Ive better atmosphere,,positive,ive better atmospher,,,
Kind of hard to mess up a steak but they did.,0,"['Kind', 'hard', 'mess', 'steak']",Kind hard mess steak,,positive,kind hard mess steak,,kind mess ,hard 
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,"['Although', 'I', 'much', 'liked', 'look', 'sound', 'place', 'actual', 'experience', 'bit', 'disappointing']",Although  much liked look sound place actual experience bit disappointing,,positive,although i much like look sound place actual experi bit disappoint,,,
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,"['I', 'dont', 'know', 'place', 'managed', 'served', 'blandest', 'food', 'I', 'ever', 'eaten', 'preparing', 'Indian', 'cuisine']",dont know place managed served blandest food  ever eaten preparing Indian cuisine,,neutral,i dont know place manag serv blandest food i ever eaten prepar indian cuisin,,,
"Worst service to boot, but that is the least of their worries.",0,"['Worst', 'service', 'boot', 'least', 'worries']",Worst service boot least worries,,negative,worst servic boot least worri,,worst ,
Service was fine and the waitress was friendly.,1,"['Service', 'fine', 'waitress', 'friendly']",Service fine waitress friendly,,positive,servic fine waitress friendli,,,
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,"['The', 'guys', 'steaks', 'steak', 'loving', 'son', 'steak', 'best', 'worst', 'places', 'said', 'best', 'steak', 'hes', 'ever', 'eaten']",The guys steaks steak loving son steak best worst places said best steak hes ever eaten,,positive,the guy steak steak love son steak best worst place said best steak he ever eaten,,worst ,
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,"['We', 'thought', 'youd', 'venture', 'away', 'get', 'good', 'sushi', 'place', 'really', 'hit', 'spot', 'night']",We thought youd venture away get good sushi place really hit spot night,,positive,we thought youd ventur away get good sushi place realli hit spot night,,thought ,
"Host staff were, for lack of a better word, BITCHES!",0,"['Host', 'staff', 'lack', 'better', 'word', 'BITCHES']",Host staff lack better word,,positive,host staff lack better word bitch,,,
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,"['Bland', 'Not', 'liking', 'place', 'number', 'reasons', 'I', 'dont', 'want', 'waste', 'time', 'bad', 'reviewing', 'Ill', 'leave']",Bland Not liking place number reasons  dont want waste time bad reviewing Ill leave,,negative,bland not like place number reason i dont want wast time bad review ill leav,,time ,bland bad 
"Phenomenal food, service and ambiance.",1,"['Phenomenal', 'food', 'service', 'ambiance']",Phenomenal food service ambiance,,positive,phenomen food servic ambianc,,,
I wouldn't return.,0,"['I', 'wouldnt', 'return']",wouldnt return,,neutral,i wouldnt return,,,
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,"['Definitely', 'worth', 'venturing', 'strip', 'pork', 'belly', 'return', 'next', 'time', 'Im', 'Vegas']",Definitely worth venturing strip pork belly return next time Im Vegas,,positive,definit worth ventur strip pork belli return next time im vega,,time ,
This place is way too overpriced for mediocre food.,0,"['This', 'place', 'way', 'overpriced', 'mediocre', 'food']",This place way overpriced mediocre food,,negative,thi place way overpr mediocr food,mediocr ,,
Penne vodka excellent!,1,"['Penne', 'vodka', 'excellent']",Penne vodka excellent,,positive,penn vodka excel,,,
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,"['They', 'good', 'selection', 'food', 'including', 'massive', 'meatloaf', 'sandwich', 'crispy', 'chicken', 'wrap', 'delish', 'tuna', 'melt', 'tasty', 'burgers']",They good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burgers,,positive,they good select food includ massiv meatloaf sandwich crispi chicken wrap delish tuna melt tasti burger,,,melt tasti 
The management is rude.,0,"['The', 'management', 'rude']",The management rude,,negative,the manag rude,,rude ,
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,"['Delicious', 'NYC', 'bagels', 'good', 'selections', 'cream', 'cheese', 'real', 'Lox', 'capers', 'even']",Delicious  bagels good selections cream cheese real Lox capers even,,positive,delici nyc bagel good select cream chees real lox caper even,,,delici 
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,"['Great', 'Subway', 'fact', 'good', 'come', 'every', 'Subway', 'not', 'meet', 'expectations']",Great Subway fact good come every Subway not meet expectations,,positive,great subway fact good come everi subway not meet expect,,great ,
I had a seriously solid breakfast here.,1,"['I', 'seriously', 'solid', 'breakfast']",seriously solid breakfast,,neutral,i serious solid breakfast,,,
This is one of the best bars with food in Vegas.,1,"['This', 'one', 'best', 'bars', 'food', 'Vegas']",This one best bars food Vegas,,positive,thi one best bar food vega,,,
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,"['He', 'extremely', 'rude', 'really', 'many', 'restaurants', 'I', 'would', 'love', 'dine', 'weekend', 'Vegas']",He extremely rude really many restaurants  would love dine weekend Vegas,,positive,he extrem rude realli mani restaur i would love dine weekend vega,,rude ,
My drink was never empty and he made some really great menu suggestions.,1,"['My', 'drink', 'never', 'empty', 'made', 'really', 'great', 'menu', 'suggestions']",My drink never empty made really great menu suggestions,,positive,my drink never empti made realli great menu suggest,,great ,
Don't do it!!!!,0,['Dont'],Dont,,neutral,dont,,,
The waiter wasn't helpful or friendly and rarely checked on us.,0,"['The', 'waiter', 'wasnt', 'helpful', 'friendly', 'rarely', 'checked', 'us']",The waiter wasnt helpful friendly rarely checked us,,positive,the waiter wasnt help friendli rare check us,,help ,
My husband and I ate lunch here and were very disappointed with the food and service.,0,"['My', 'husband', 'I', 'ate', 'lunch', 'disappointed', 'food', 'service']",My husband  ate lunch disappointed food service,,negative,my husband i ate lunch disappoint food servic,,,
